firstseen_date,lastseen_date,firstseen_log_type,lastseen_log_type,days_since_lastseen,days_since_firstseen,count_since_firstseen,isIP,host
2020-05-02,2021-03-29,HTTPSSL,HTTPSSL,0,331,330.0,1.0,104.192.108.134
2020-05-02,2021-03-29,HTTPSSL,HTTPSSL,0,331,330.0,1.0,110.43.89.12
2020-05-02,2021-03-29,HTTPSSL,HTTPSSL,0,331,330.0,1.0,203.205.219.244
2020-05-02,2021-03-29,HTTPSSL,HTTPSSL,0,331,197.0,0.0,activation.vectorworks.net
2020-05-02,2021-03-29,HTTPSSL,HTTPSSL,0,331,330.0,0.0,ad.adsrvr.org
2020-05-02,2021-03-29,HTTPSSL,HTTPSSL,0,331,322.0,0.0,annals.org
2020-05-02,2021-03-29,HTTPSSL,HTTPSSL,0,331,330.0,0.0,api.winzip.com
2020-05-02,2021-03-29,HTTPSSL,HTTPSSL,0,331,329.0,0.0,api.wunderground.com
2020-05-02,2021-03-29,HTTPSSL,HTTPSSL,0,331,260.0,0.0,autodiscover.darden44.onmicrosoft.com
2020-05-02,2021-03-29,HTTPSSL,HTTPSSL,0,331,319.0,0.0,bay.uchicago.edu
2020-05-02,2021-03-29,HTTPSSL,HTTPSSL,0,331,330.0,0.0,cdn-file.ludashi.com
2020-05-02,2021-03-29,HTTPSSL,HTTPSSL,0,331,329.0,0.0,cdn.ap.bittorrent.com
2020-05-02,2021-03-29,HTTPSSL,HTTPSSL,0,331,330.0,0.0,clientconfig.akamai.steamstatic.com
2020-05-02,2021-03-29,HTTPSSL,HTTPSSL,0,331,330.0,0.0,cnzz.mmstat.com
2020-05-02,2021-03-29,HTTPSSL,HTTPSSL,0,331,330.0,0.0,config.teams.microsoft.com
2020-05-02,2021-03-29,HTTPSSL,HTTPSSL,0,331,330.0,0.0,cont-1.p-cdn.us
2020-05-02,2021-03-29,HTTPSSL,HTTPSSL,0,331,330.0,0.0,d.skconf.f.360.cn
2020-05-02,2021-03-29,HTTPSSL,HTTPSSL,0,331,330.0,0.0,d3h5bk8iotgjvw.cloudfront.net
2020-05-02,2021-03-29,HTTPSSL,HTTPSSL,0,331,330.0,0.0,diskapi.baidu.com
2020-05-02,2021-03-29,HTTPSSL,HTTPSSL,0,331,330.0,0.0,dl2.acronis.com
2020-05-02,2021-03-29,HTTPSSL,HTTPSSL,0,331,330.0,0.0,dlassets.xboxlive.com
2020-05-02,2021-03-29,HTTPSSL,HTTPSSL,0,331,330.0,0.0,duba-defend.zhhainiao.com
